title,categoric,semantic,paper_id,year,doi,main_topic_category,research_target,study_type,impact_category
"Climate change effects on human health: projections of temperature-related mortality for the UK during the 2020s, 2050s and 2080s",core_topic,"This paper projects temperature-related mortality in the UK due to climate change, highlighting increased risks for the elderly.",10_1136_jech_2013_202449,2014,10.1136/jech-2013-202449,core_topic,outcome_or_effect,empirical,physical_health; vulnerable_populations
Global Warming and Its Health Impact,core_topic,"This paper outlines the health impacts of global warming, highlighting how climate change leads to both physical and mental health issues, particularly affecting vulnerable populations.",10_15171_ijoem_2017_963,2017,10.15171/ijoem.2017.963,core_topic,population_or_setting,empirical,physical_health; mental_health; vulnerable_populations
Public Health Impacts of Global Warming and Climate Change,core_topic,"This paper examines the public health impacts associated with global warming and climate change, linking environmental changes to health outcomes.",10_1080_10402659_2014_876326,2014,10.1080/10402659.2014.876326,core_topic,outcome_or_effect,review,physical_health; mixed_or_unclear
Deaths attributable to anomalous temperature: A generalizable metric for the health impact of global warming,core_topic,"This paper provides a generalizable metric for assessing deaths attributable to anomalous temperatures, illustrating the health impacts of climate change across various geographical locations.",10_1016_j_envint_2022_107520,2022,10.1016/j.envint.2022.107520,core_topic,outcome_or_effect,empirical,physical_health; mixed_or_unclear
An Approach for Assessing Human Health Vulnerability and Public Health Interventions to Adapt to Climate Change,core_topic,"The paper provides a structured approach for assessing human health vulnerability related to climate change, focusing on adaptation strategies and public health interventions.",10_1289_ehp_8430,2006,10.1289/ehp.8430,core_topic,primary_target,policy_analysis,physical_health; vulnerable_populations
The Effectiveness of Public Health Interventions to Reduce the Health Impact of Climate Change: A Systematic Review of Systematic Reviews,core_topic,The paper systematically reviews the effectiveness of public health interventions aimed at mitigating the health impacts of climate change.,10_1371_journal_pone_0062041,2013,10.1371/journal.pone.0062041,core_topic,outcome_or_effect,review,physical_health; vulnerable_populations
Health effects of climate change: an overview of systematic reviews,core_topic,"The paper provides a systematic overview of systematic reviews on the health impacts of climate change, highlighting detrimental health outcomes associated with climate-related changes.",10_1136_bmjopen_2020_046333,2021,10.1136/bmjopen-2020-046333,core_topic,outcome_or_effect,review,physical_health; mental_health; vulnerable_populations
The Impact of Climate Change on Mental Health: A Systematic Descriptive Review,core_topic,"This paper systematically reviews the impact of climate change on mental health outcomes, highlighting the associations between climate-related events and various psychiatric disorders.",10_3389_fpsyt_2020_00074,2020,10.3389/fpsyt.2020.00074,core_topic,outcome_or_effect,review,mental_health; vulnerable_populations
Indigenous mental health in a changing climate: a systematic scoping review of the global literature,core_topic,"This systematic scoping review analyzes how climate change impacts the mental health of Indigenous Peoples globally, highlighting socio-cultural variations in these effects.",10_1088_1748_9326_ab68a9,2020,10.1088/1748-9326/ab68a9,core_topic,population_or_setting,review,mental_health; vulnerable_populations
Vulnerable Populations Perceive Their Health as at Risk from Climate Change,core_topic,"This paper highlights how vulnerable populations perceive health risks associated with climate change, emphasizing adaptation strategies for those most at risk.",10_3390_ijerph121214994,2015,10.3390/ijerph121214994,core_topic,population_or_setting,empirical,vulnerable_populations; physical_health
